ERROR 2025-01-16 00:19:48,431 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:20:15,927 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:20:18,616 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:21:51,631 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:21:59,232 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:22:01,687 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:23:15,736 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:23:21,645 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:23:25,032 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:25:02,587 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:25:10,054 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:25:13,630 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:26:51,702 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:27:04,542 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:27:07,223 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:30:26,303 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:31:03,509 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:31:06,678 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:32:38,876 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:32:41,509 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:35:15,490 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:35:20,059 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:35:23,567 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:35:44,930 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:35:47,535 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:40:28,942 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:40:28,959 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:40:37,284 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:40:40,660 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:42:30,032 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:42:32,531 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:42:45,078 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:42:47,217 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:45:38,406 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:45:41,524 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:47:39,697 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 09:24:22,378 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 09:24:25,102 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 09:35:51,535 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 09:35:58,119 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 09:36:00,129 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 09:39:11,041 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 09:39:12,757 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 11:16:10,755 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 11:16:12,878 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:14:49,604 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:16:13,560 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:16:40,136 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:16:47,478 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:17:52,696 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 12:17:54,956 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:18:30,505 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 12:18:32,863 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:32:23,327 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 12:32:25,686 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 12:33:08,200 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 12:33:10,266 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 11:27:41,818 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 11:27:43,857 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 11:28:06,232 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 11:28:07,983 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 11:55:07,561 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 11:55:09,890 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 11:59:04,089 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 11:59:54,161 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 11:59:56,069 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 12:00:52,304 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 12:00:53,837 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 12:07:36,057 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 12:07:38,465 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 12:35:31,907 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-17 12:35:36,117 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-17 16:11:11,247 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
